date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-7-1 00:00,5.827000141,2.009000063,1.598999977,0.462000012,4.203000069,1.340000033,30.53100014,41.13000107,12.48099995,36.5359993,9.354999542,4.423999786,1.31099999,38.66199875
2016-7-1 01:00,5.69299984,2.075999975,1.491999984,0.425999999,4.142000198,1.371000051,27.78700066,37.52799988,10.13599968,33.93600082,7.532000065,4.434999943,1.215000033,37.12400055
2016-7-1 02:00,5.157000065,1.741000056,1.279000044,0.354999989,3.77699995,1.218000054,27.78700066,37.9469986,11.30900002,35.33000183,9.006999969,2.099999905,0,36.46500015
2016-7-1 03:00,5.090000153,1.942000031,1.279000044,0.391000003,3.806999922,1.279000044,25.04400063,38.95199966,11.89500046,35.54399872,9.43599987,3.380000114,1.215000033,33.60850143
2016-7-1 04:00,5.357999802,1.942000031,1.491999984,0.462000012,3.868000031,1.279000044,21.94799995,38.11399841,11.47599983,35.40999985,9.623000145,2.036000013,0,31.85050011
2016-7-1 05:00,5.625999928,2.142999887,1.527999997,0.532999992,4.051000118,1.371000051,21.17399979,36.77399826,10.97399998,34.9280014,9.248000145,2.036000013,0,30.53199959
2016-7-1 06:00,7.166999817,2.947000027,2.131999969,0.782000005,5.026000023,1.85800004,22.79199982,39.0359993,11.81099987,37.15299988,10.07900047,2.036000013,0,30.09300041
2016-7-1 07:00,7.434999943,3.282000065,2.309999943,1.031000018,5.086999893,2.223999977,23.1439991,39.37099838,11.30900002,36.5359993,9.409000397,2.068000078,0,29.87299919
2016-7-1 08:00,5.559000015,3.013999939,2.451999903,1.172999978,2.954999924,1.432000041,21.66699982,33.92599869,8.461000443,31.89900017,6.486999989,2.015000105,0,29.65299988
2016-7-1 09:00,4.554999828,2.545000076,1.91900003,0.816999972,2.680000067,1.371000051,17.44599915,38.44900131,13.90499973,37.28699875,12.14299965,1.269000053,0,29.21349907
2016-7-1 10:00,4.956999779,2.545000076,1.99000001,0.852999985,2.954999924,1.491999984,19.97900009,35.93600082,9.550000191,34.25799942,8.041999817,1.269000053,0,27.45599937
2016-7-1 11:00,5.760000229,2.545000076,2.203000069,0.852999985,3.441999912,1.491999984,20.11899948,35.76900101,9.465999603,33.93600082,7.907999992,1.269000053,0,27.45599937
2016-7-1 12:00,4.68900013,2.545000076,1.812000036,0.852999985,2.832999945,1.523000002,19.20499992,40.20899963,12.98400021,38.76100159,11.09799957,1.343000054,0,27.23649979
2016-7-1 13:00,4.68900013,2.678999901,1.77699995,1.243999958,3.107000113,1.613999963,18.5720005,37.02500153,11.89500046,35.73199844,10.42700005,1.386000037,0,26.57699966
